txn_id,posted_at,account_id,currency,amount_minor,type,ref_txn_id,status
T66636_8,2026-01-31T06:55:02Z,A84F,JPY,10930,PAYMENT,,POSTED
T60514_36,2026-01-26T12:59:11Z,A84F,GBP,7590,ADJUSTMENT,,POSTED
R54561_T42313_17,2026-01-23T21:21:25Z,A44D,GBP,4477,REVERSAL,T42313_17,POSTED
R63675_T46060_29,2026-01-16T06:07:11Z,A11C,USD,-4026,REVERSAL,T46060_29,POSTED
T33805_23,2026-01-27T23:12:25Z,A66A,JPY,-13564,PAYMENT,,POSTED
T77558_22,2026-02-01T23:09:38Z,A84F,EUR,-13550,REFUND,,VOID
T24405_31,2026-01-21T22:46:31Z,A47E,USD,-11440,PAYMENT,,POSTED
T99469_11,2026-01-27T20:48:46Z,A66A,GBP,-17980,CHARGE,,POSTED
R38234_T93536_10,2026-01-16T23:48:45Z,A47E,GBP,-1210,REVERSAL,T93536_10,POSTED
T34136_28,2026-01-16T18:47:38Z,A47E,EUR,22300,CHARGE,,POSTED
T61234_30,2026-01-13T13:02:01Z,A44D,GBP,-8110,REFUND,,POSTED
T12830_34,2026-01-18T09:30:41Z,A66A,GBP,23803,ADJUSTMENT,,POSTED
T16780_0,2026-01-24T20:31:39Z,A66A,GBP,-5476,PAYMENT,,VOID
T62444_19,2026-01-10T18:54:52Z,A66A,USD,-24970,ADJUSTMENT,,POSTED
T12830_34,2026-01-18T10:25:41Z,A66A,GBP,18223,ADJUSTMENT,,VOID
T87344_24,2026-01-23T07:13:24Z,A84F,JPY,880,ADJUSTMENT,,POSTED
T46325_37,2026-01-12T00:22:46Z,A11C,JPY,13069,ADJUSTMENT,,POSTED
T46809_26,2026-01-29T01:52:08Z,A87B,JPY,-2445,PAYMENT,,POSTED
R56628_MISSING,2026-01-17T15:00:00Z,A87B,JPY,3875,REVERSAL,T_MISSING_225,POSTED
T71968_6,2026-01-15T11:42:31Z,A11C,JPY,3600,PAYMENT,,POSTED
T70319_21,2026-01-12T14:16:54Z,A66A,JPY,22767,ADJUSTMENT,,POSTED
T32806_27,2026-01-21T22:48:01Z,A44D,USD,1700,ADJUSTMENT,,POSTED
T70694_13,2026-01-16T10:17:34Z,A47E,USD,-2990,CHARGE,,POSTED
T16938_18,2026-01-22T08:32:02Z,A11C,EUR,-4630,CHARGE,,POSTED
T16780_0,2026-01-25T20:11:39Z,A66A,GBP,-1660,PAYMENT,,POSTED
T67006_40,2026-01-17T18:35:28Z,A44D,USD,-14110,CHARGE,,POSTED
T42313_17,2026-01-28T10:26:59Z,A47E,USD,8860,ADJUSTMENT,,VOID
T81610_1,2026-01-15T23:25:55Z,A11C,EUR,-18490,PAYMENT,,POSTED
T70319_21,2026-01-11T14:21:54Z,A66A,JPY,18728,ADJUSTMENT,,POSTED
T59534_12,2026-01-15T14:47:43Z,A44D,GBP,8340,ADJUSTMENT,,POSTED
R45155_T46325_37,2026-01-15T22:15:14Z,A84F,EUR,-1115,REVERSAL,T46325_37,POSTED
T12830_34,2026-01-20T09:27:41Z,A66A,GBP,20040,ADJUSTMENT,,POSTED
T75760_16,2026-01-13T13:58:26Z,A47E,GBP,16010,ADJUSTMENT,,POSTED
R61827_T62444_19,2026-01-25T17:36:29Z,A84F,JPY,-690,REVERSAL,T62444_19,POSTED
T99723_14,2026-01-31T18:25:16Z,A44D,USD,-9070,REFUND,,POSTED
R93023_MISSING,2026-01-27T15:00:00Z,A66A,USD,3012,REVERSAL,T_MISSING_691,POSTED
T44053_9,2026-02-03T14:13:35Z,A84F,USD,-18030,PAYMENT,,POSTED
R57802_T22270_15,2026-01-28T08:50:21Z,A84F,EUR,-932,REVERSAL,T22270_15,POSTED
T18547_38,2026-01-17T04:49:51Z,A87B,JPY,-5265,CHARGE,,POSTED
R70645_T24405_31_DUP,2026-01-25T19:06:03Z,A44D,JPY,4694,REVERSAL,T24405_31,POSTED
T95186_39,2026-01-30T18:19:28Z,A44D,EUR,-8970,CHARGE,,POSTED
T42313_17,2026-01-28T22:54:59Z,A47E,USD,9935,ADJUSTMENT,,VOID
T24405_31,2026-01-22T11:15:31Z,A47E,USD,-12780,PAYMENT,,POSTED
T44363_4,2026-02-03T18:23:46Z,A47E,GBP,-17300,PAYMENT,,POSTED
T93210_25,2026-01-17T12:57:19Z,A87B,GBP,18610,ADJUSTMENT,,POSTED
R76488_T61234_30,2026-01-14T15:51:39Z,A66A,JPY,-2539,REVERSAL,T61234_30,POSTED
R93539_T24405_31,2026-01-24T18:06:03Z,A44D,JPY,4870,REVERSAL,T24405_31,POSTED
T22366_2,2026-01-10T19:30:36Z,A87B,GBP,-9632,PAYMENT,,POSTED
R87783_MISSING,2026-01-22T13:00:00Z,A47E,JPY,-649,REVERSAL,T_MISSING_739,POSTED
T12830_34,2026-01-19T09:55:41Z,A66A,GBP,22362,ADJUSTMENT,,VOID
T30401_3,2026-01-14T09:33:16Z,A47E,USD,-18000,CHARGE,,VOID
R41026_T46060_29_DUP,2026-01-16T21:07:11Z,A47E,JPY,-2448,REVERSAL,T46060_29,POSTED
T46060_29,2026-01-14T09:49:21Z,A87B,USD,-22930,ADJUSTMENT,,POSTED
T64922_41,2026-01-17T05:57:18Z,A87B,JPY,-5184,CHARGE,,POSTED
T98978_20,2026-01-13T07:12:38Z,A47E,GBP,-17800,PAYMENT,,POSTED
