date,currency,usd_per_unit
2026-01-22,EUR,1.004520
2026-01-30,EUR,1.030477
2026-02-01,EUR,1.062619
2026-02-04,EUR,1.062992
2026-02-06,EUR,1.003040
2026-02-16,EUR,1.097300
2026-01-22,GBP,1.288745
2026-01-23,GBP,1.368604
2026-01-29,GBP,1.194530
2026-02-04,GBP,1.337025
2026-02-05,GBP,1.160482
2026-02-12,GBP,1.170752
2026-02-13,GBP,1.273978
2026-02-15,GBP,1.360351
2026-01-23,JPY,0.008208
2026-01-24,JPY,0.007710
2026-01-25,JPY,0.006547
2026-01-30,JPY,0.009222
2026-02-02,JPY,0.007790
2026-02-03,JPY,0.007346
2026-02-07,JPY,0.009341
2026-02-09,JPY,0.009415
2026-02-10,JPY,0.007804
2026-01-23,USD,1.000000
2026-01-26,USD,1.000000
2026-01-27,USD,1.000000
2026-01-29,USD,1.000000
2026-01-31,USD,1.000000
2026-02-06,USD,1.000000
2026-02-07,USD,1.000000
2026-02-09,USD,1.000000
2026-02-12,USD,1.000000
2026-02-16,USD,1.000000
