date,currency,usd_per_unit
2026-04-01,AUD,0.65
2026-04-01,CAD,0.73
2026-04-01,EUR,1.08
2026-04-01,GBP,1.23
2026-04-01,JPY,0.0100
2026-04-02,AUD,0.64
2026-04-02,CAD,0.75
2026-04-02,EUR,1.12
2026-04-02,GBP,1.28
2026-04-02,JPY,0.0100
2026-04-03,AUD,0.65
2026-04-03,CAD,0.74
2026-04-03,EUR,1.07
2026-04-03,GBP,1.29
2026-04-03,JPY,0.0100
2026-04-04,AUD,0.65
2026-04-04,CAD,0.75
2026-04-04,EUR,1.09
2026-04-04,GBP,1.30
2026-04-04,JPY,0.0100
2026-04-05,AUD,0.68
2026-04-05,CAD,0.73
2026-04-05,EUR,1.06
2026-04-05,GBP,1.30
2026-04-05,JPY,0.0100
2026-04-06,AUD,0.65
2026-04-06,CAD,0.74
2026-04-06,EUR,1.10
2026-04-06,GBP,1.25
2026-04-06,JPY,0.0100
2026-04-07,AUD,0.66
2026-04-07,CAD,0.74
2026-04-07,EUR,1.10
2026-04-07,GBP,1.25
2026-04-07,JPY,0.0100
2026-04-08,AUD,0.65
2026-04-08,CAD,0.72
2026-04-08,EUR,1.11
2026-04-08,GBP,1.27
2026-04-08,JPY,0.0100
2026-04-09,AUD,0.68
2026-04-09,CAD,0.75
2026-04-09,EUR,1.07
2026-04-09,GBP,1.26
2026-04-09,JPY,0.0100
2026-04-10,AUD,0.68
2026-04-10,CAD,0.71
2026-04-10,EUR,1.07
2026-04-10,GBP,1.25
2026-04-10,JPY,0.0100
2026-04-11,AUD,0.67
2026-04-11,CAD,0.72
2026-04-11,EUR,1.11
2026-04-11,GBP,1.23
2026-04-11,JPY,0.0100
2026-04-12,AUD,0.67
2026-04-12,CAD,0.73
2026-04-12,EUR,1.07
2026-04-12,GBP,1.30
2026-04-12,JPY,0.0100
2026-04-13,AUD,0.67
2026-04-13,CAD,0.73
2026-04-13,EUR,1.12
2026-04-13,GBP,1.27
2026-04-13,JPY,0.0100
2026-04-14,AUD,0.66
2026-04-14,CAD,0.72
2026-04-14,EUR,1.07
2026-04-14,GBP,1.23
2026-04-14,JPY,0.0100
2026-04-15,AUD,0.66
2026-04-15,CAD,0.75
2026-04-15,EUR,1.09
2026-04-15,GBP,1.25
2026-04-15,JPY,0.0100
2026-04-16,AUD,0.68
2026-04-16,CAD,0.73
2026-04-16,EUR,1.07
2026-04-16,GBP,1.26
2026-04-16,JPY,0.0100
2026-04-17,AUD,0.67
2026-04-17,CAD,0.72
2026-04-17,EUR,1.09
2026-04-17,GBP,1.30
2026-04-17,JPY,0.0100
2026-04-18,AUD,0.67
2026-04-18,CAD,0.71
2026-04-18,EUR,1.09
2026-04-18,GBP,1.29
2026-04-18,JPY,0.0100
2026-04-19,AUD,0.68
2026-04-19,CAD,0.72
2026-04-19,EUR,1.06
2026-04-19,GBP,1.29
2026-04-19,JPY,0.0100
2026-04-20,AUD,0.66
2026-04-20,CAD,0.72
2026-04-20,EUR,1.07
2026-04-20,GBP,1.23
2026-04-20,JPY,0.0100
2026-04-21,AUD,0.65
2026-04-21,CAD,0.72
2026-04-21,EUR,1.10
2026-04-21,GBP,1.27
2026-04-21,JPY,0.0100
2026-04-22,AUD,0.64
2026-04-22,CAD,0.72
2026-04-22,EUR,1.11
2026-04-22,GBP,1.26
2026-04-22,JPY,0.0100
2026-04-23,AUD,0.65
2026-04-23,CAD,0.72
2026-04-23,EUR,1.09
2026-04-23,GBP,1.23
2026-04-23,JPY,0.0100
2026-04-24,AUD,0.64
2026-04-24,CAD,0.74
2026-04-24,EUR,1.07
2026-04-24,GBP,1.24
2026-04-24,JPY,0.0100
2026-04-25,AUD,0.66
2026-04-25,CAD,0.72
2026-04-25,EUR,1.07
2026-04-25,GBP,1.25
2026-04-25,JPY,0.0100
2026-04-26,AUD,0.64
2026-04-26,CAD,0.73
2026-04-26,EUR,1.08
2026-04-26,GBP,1.26
2026-04-26,JPY,0.0100
2026-04-27,AUD,0.64
2026-04-27,CAD,0.74
2026-04-27,EUR,1.06
2026-04-27,GBP,1.26
2026-04-27,JPY,0.0100
2026-04-28,AUD,0.66
2026-04-28,CAD,0.71
2026-04-28,EUR,1.12
2026-04-28,GBP,1.28
2026-04-28,JPY,0.0100
2026-04-29,AUD,0.66
2026-04-29,CAD,0.72
2026-04-29,EUR,1.08
2026-04-29,GBP,1.24
2026-04-29,JPY,0.0100
2026-04-30,AUD,0.66
2026-04-30,CAD,0.73
2026-04-30,EUR,1.11
2026-04-30,GBP,1.27
2026-04-30,JPY,0.0100
2026-05-01,AUD,0.67
2026-05-01,CAD,0.71
2026-05-01,EUR,1.10
2026-05-01,GBP,1.27
2026-05-01,JPY,0.0100
2026-05-02,AUD,0.65
2026-05-02,CAD,0.75
2026-05-02,EUR,1.11
2026-05-02,GBP,1.27
2026-05-02,JPY,0.0100
2026-05-03,AUD,0.66
2026-05-03,CAD,0.72
2026-05-03,EUR,1.10
2026-05-03,GBP,1.24
2026-05-03,JPY,0.0100
2026-05-04,AUD,0.64
2026-05-04,CAD,0.73
2026-05-04,EUR,1.08
2026-05-04,GBP,1.30
2026-05-04,JPY,0.0100
2026-05-05,AUD,0.64
2026-05-05,CAD,0.72
2026-05-05,EUR,1.07
2026-05-05,GBP,1.24
2026-05-05,JPY,0.0100
2026-05-06,AUD,0.68
2026-05-06,CAD,0.73
2026-05-06,EUR,1.10
2026-05-06,GBP,1.30
2026-05-06,JPY,0.0100
2026-05-07,AUD,0.66
2026-05-07,CAD,0.73
2026-05-07,EUR,1.06
2026-05-07,GBP,1.29
2026-05-07,JPY,0.0100
2026-05-08,AUD,0.67
2026-05-08,CAD,0.71
2026-05-08,EUR,1.06
2026-05-08,GBP,1.29
2026-05-08,JPY,0.0100
2026-05-09,AUD,0.67
2026-05-09,CAD,0.72
2026-05-09,EUR,1.06
2026-05-09,GBP,1.27
2026-05-09,JPY,0.0100
2026-05-10,AUD,0.66
2026-05-10,CAD,0.71
2026-05-10,EUR,1.08
2026-05-10,GBP,1.29
2026-05-10,JPY,0.0100
2026-05-11,AUD,0.68
2026-05-11,CAD,0.73
2026-05-11,EUR,1.11
2026-05-11,GBP,1.30
2026-05-11,JPY,0.0100
2026-05-12,AUD,0.67
2026-05-12,CAD,0.75
2026-05-12,EUR,1.10
2026-05-12,GBP,1.27
2026-05-12,JPY,0.0100
2026-05-13,AUD,0.65
2026-05-13,CAD,0.72
2026-05-13,EUR,1.07
2026-05-13,GBP,1.25
2026-05-13,JPY,0.0100
2026-05-14,AUD,0.67
2026-05-14,CAD,0.71
2026-05-14,EUR,1.07
2026-05-14,GBP,1.30
2026-05-14,JPY,0.0100
2026-05-15,AUD,0.64
2026-05-15,CAD,0.74
2026-05-15,EUR,1.09
2026-05-15,GBP,1.25
2026-05-15,JPY,0.0100
2026-05-16,AUD,0.67
2026-05-16,CAD,0.75
