scenario,gamma,floor,n_grids,inv_zero_over_useful,inv_high_over_low,inv_zero_over_trivial,gap_useful_trivial
A,4,1,50000,0.00616,0.31046,0.0333,20.54614048232604
A,4,3,50000,0.0057,0.31192,0.03196,20.130951251500473
A,4,5,50000,0.00524,0.3135,0.03072,19.715155822442203
A,4,8,50000,0.00436,0.31586,0.02884,19.09038030245819
A,4,10,50000,0.00396,0.31774,0.02742,18.67312301937689
A,4,20,50000,0.002,0.32912,0.02002,16.579806084986423
A,7,1,50000,0.00238,0.17346,0.0298,23.66636357515559
A,7,3,50000,0.00204,0.1753,0.02854,23.1865318250928
A,7,5,50000,0.00188,0.1776,0.02762,22.706437105915978
A,7,8,50000,0.00154,0.18064,0.0263,21.98579124181685
A,7,10,50000,0.00136,0.18268,0.02496,21.505003527357914
A,7,20,50000,0.00072,0.19832,0.01876,19.096283916168506
A,10,1,50000,0.00118,0.17138,0.027,23.787742504152547
A,10,3,50000,0.00104,0.17352,0.0261,23.30584823049161
A,10,5,50000,0.001,0.1755,0.02518,22.823663956475112
A,10,8,50000,0.00082,0.17938,0.02388,22.100135416032717
A,10,10,50000,0.00068,0.18214,0.02266,21.61773680613309
A,10,20,50000,0.00018,0.19984,0.01644,19.203505660870473
A,13,1,50000,0.00074,0.21148,0.02502,23.079726823643284
A,13,3,50000,0.00062,0.21398,0.02404,22.612548885976985
A,13,5,50000,0.00058,0.2168,0.02298,22.145265212676065
A,13,8,50000,0.00036,0.2206,0.02154,21.444133493089055
A,13,10,50000,0.00024,0.22324,0.02054,20.97663065015771
A,13,20,50000,6e-05,0.24124,0.0146,18.637048019324602
B,4,1,50000,0.03734,0.11758,0.2697,31.838147732025345
B,4,3,50000,0.0341,0.11936,0.2555,31.172389278484744
B,4,5,50000,0.03102,0.1215,0.2412,30.50700105637255
B,4,8,50000,0.0266,0.12506,0.21886,29.509026014178335
B,4,10,50000,0.02398,0.1274,0.20464,28.843806951639827
B,4,20,50000,0.013,0.14378,0.13256,25.523140233089222
B,7,1,50000,0.01326,0.0564,0.23402,37.08138647482236
B,7,3,50000,0.01216,0.0585,0.22118,36.313610406793146
B,7,5,50000,0.01094,0.06044,0.20868,35.546233773869425
B,7,8,50000,0.00916,0.06398,0.19008,34.39613581949531
B,7,10,50000,0.00808,0.06636,0.1777,33.629991860717844
